#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	SAV0051	chr	-	55787	55961	55787	55961	1	55787,	55961,	50	none	cmpl	cmpl	0,
585	SAV0052	chr	+	55962	56694	55962	56694	1	55962,	56694,	51	ermA	cmpl	cmpl	0,
585	SAV0053	chr	-	56819	57602	56819	57602	1	56819,	57602,	52	ant(9)	cmpl	cmpl	0,
585	SAV0054	chr	-	57752	58130	57752	58130	1	57752,	58130,	53	tnpC	cmpl	cmpl	0,
585	SAV0055	chr	-	58136	60029	58136	60029	1	58136,	60029,	54	tnpB	cmpl	cmpl	0,
585	SAV0056	chr	-	60025	61111	60025	61111	1	60025,	61111,	55	tnpA	cmpl	cmpl	0,
585	SAV0057	chr	-	61229	61547	61229	61547	1	61229,	61547,	56	truncated-radC	cmpl	cmpl	0,
585	SAV0058	chr	-	61567	62086	61567	62086	1	61567,	62086,	57	none	cmpl	cmpl	0,
585	SAV0059	chr	-	62091	62403	62091	62403	1	62091,	62403,	58	none	cmpl	cmpl	0,
585	SAV0060	chr	-	62489	62840	62489	62840	1	62489,	62840,	59	none	cmpl	cmpl	0,
585	SAV0061	chr	-	63357	64986	63357	64986	1	63357,	64986,	60	ccrB	cmpl	cmpl	0,
585	SAV0062	chr	-	65007	66357	65007	66357	1	65007,	66357,	61	ccrA	cmpl	cmpl	0,
585	SAV0063	chr	-	66590	68384	66590	68384	1	66590,	68384,	62	none	cmpl	cmpl	0,
585	SAV0064	chr	-	68383	68680	68383	68680	1	68383,	68680,	63	none	cmpl	cmpl	0,
585	SAV0065	chr	-	68872	69919	68872	69919	1	68872,	69919,	64	none	cmpl	cmpl	0,
585	SAV0066	chr	-	70169	70547	70169	70547	1	70169,	70547,	65	tnp	cmpl	cmpl	0,
585	SAV0067	chr	-	70658	71012	70658	71012	1	70658,	71012,	66	tnp	cmpl	cmpl	0,
585	SAV0068	chr	-	70996	71311	70996	71311	1	70996,	71311,	67	none	cmpl	cmpl	0,
585	SAV0069	chr	-	71821	72406	71821	72406	1	71821,	72406,	68	none	cmpl	cmpl	0,
585	SAV0070	chr	-	73469	74165	73469	74165	1	73469,	74165,	69	kdpE	cmpl	cmpl	0,
585	SAV0071	chr	-	74139	76773	74139	76773	1	74139,	76773,	70	kdpD	cmpl	cmpl	0,
585	SAV0072	chr	+	77076	78753	77076	78753	1	77076,	78753,	71	truncated-kdpA	cmpl	cmpl	0,
585	SAV0073	chr	+	78771	80793	78771	80793	1	78771,	80793,	72	kdpB(SCCmec)	cmpl	cmpl	0,
585	SAV0074	chr	+	80841	81366	80841	81366	1	80841,	81366,	73	kdpC(SCCmec)	cmpl	cmpl	0,
585	SAV0075	chr	-	81910	82780	81910	82780	1	81910,	82780,	74	none	cmpl	cmpl	0,
585	SAV0076	chr	-	82789	83692	82789	83692	1	82789,	83692,	75	none	cmpl	cmpl	0,
585	SAV0077	chr	+	83727	83853	83727	83853	1	83727,	83853,	76	none	cmpl	cmpl	0,
585	SAV0078	chr	-	83885	84365	83885	84365	1	83885,	84365,	77	none	cmpl	cmpl	0,
585	SAV0079	chr	-	84427	84760	84427	84760	1	84427,	84760,	78	none	cmpl	cmpl	0,
585	SAV0080	chr	-	84804	85431	84804	85431	1	84804,	85431,	79	none	cmpl	cmpl	0,
585	SAV0081	chr	+	85545	87054	85545	87054	1	85545,	87054,	80	none	cmpl	cmpl	0,
585	SAV0082	chr	+	87652	89386	87652	89386	1	87652,	89386,	81	none	cmpl	cmpl	0,
585	SAV0083	chr	-	89569	89908	89569	89908	1	89569,	89908,	82	none	cmpl	cmpl	0,
585	SAV0084	chr	-	90329	91085	90329	91085	1	90329,	91085,	83	none	cmpl	cmpl	0,
585	SAV0085	chr	-	91084	91345	91084	91345	1	91084,	91345,	84	none	cmpl	cmpl	0,
585	SAV0086	chr	+	91481	92546	91481	92546	1	91481,	92546,	85	none	cmpl	cmpl	0,
585	SAV0087	chr	+	92576	93911	92576	93911	1	92576,	93911,	86	none	cmpl	cmpl	0,
585	SAV0088	chr	+	93929	95123	93929	95123	1	93929,	95123,	87	none	cmpl	cmpl	0,
585	SAV0089	chr	-	95789	96776	95789	96776	1	95789,	96776,	88	none	cmpl	cmpl	0,
585	SAV0090	chr	+	97084	97288	97084	97288	1	97084,	97288,	89	none	cmpl	cmpl	0,
585	SAV0091	chr	+	97336	97633	97336	97633	1	97336,	97633,	90	none	cmpl	cmpl	0,
585	SAV0092	chr	+	97831	98443	97831	98443	1	97831,	98443,	91	none	cmpl	cmpl	0,
585	SAV0093	chr	+	98709	101862	98709	101862	1	98709,	101862,	92	none	cmpl	cmpl	0,
585	SAV0094	chr	+	101918	102401	101918	102401	1	101918,	102401,	93	none	cmpl	cmpl	0,
585	SAV0095	chr	+	102606	103593	102606	103593	1	102606,	103593,	94	plc	cmpl	cmpl	0,
585	SAV0096	chr	+	103813	104584	103813	104584	1	103813,	104584,	95	none	cmpl	cmpl	0,
585	SAV0097	chr	+	104635	105406	104635	105406	1	104635,	105406,	96	none	cmpl	cmpl	0,
585	SAV0098	chr	+	105473	106241	105473	106241	1	105473,	106241,	97	none	cmpl	cmpl	0,
585	SAV0099	chr	+	106305	107076	106305	107076	1	106305,	107076,	98	none	cmpl	cmpl	0,
585	SAV0100	chr	+	107142	107910	107142	107910	1	107142,	107910,	99	none	cmpl	cmpl	0,
585	SAV0101	chr	+	108006	110244	108006	110244	1	108006,	110244,	100	none	cmpl	cmpl	0,
585	SAV0102	chr	+	110394	111573	110394	111573	1	110394,	111573,	101	none	cmpl	cmpl	0,
585	SAV0103	chr	+	111574	112963	111574	112963	1	111574,	112963,	102	none	cmpl	cmpl	0,
585	SAV0104	chr	-	113446	115114	113446	115114	1	113446,	115114,	103	none	cmpl	cmpl	0,
585	SAV0105	chr	-	115205	115376	115205	115376	1	115205,	115376,	104	none	cmpl	cmpl	0,
585	SAV0106	chr	-	115432	117208	115432	117208	1	115432,	117208,	105	none	cmpl	cmpl	0,
585	SAV0107	chr	-	117381	118254	117381	118254	1	117381,	118254,	106	none	cmpl	cmpl	0,
585	SAV0108	chr	+	118435	119764	118435	119764	1	118435,	119764,	107	none	cmpl	cmpl	0,
585	SAV0109	chr	+	119953	120427	119953	120427	1	119953,	120427,	108	none	cmpl	cmpl	0,
585	SAV0110	chr	+	120688	122281	120688	122281	1	120688,	122281,	109	lctP	cmpl	cmpl	0,
585	SAV0111	chr	-	122609	123962	122609	123962	1	122609,	123962,	110	spa	cmpl	cmpl	0,
585	SAV0112	chr	-	124382	125135	124382	125135	1	124382,	125135,	111	sarH1	cmpl	cmpl	0,
585	SAV0113	chr	-	125503	126421	125503	126421	1	125503,	126421,	112	sirC	cmpl	cmpl	0,
585	SAV0114	chr	-	126498	127494	126498	127494	1	126498,	127494,	113	sirB	cmpl	cmpl	0,
585	SAV0115	chr	-	127509	128502	127509	128502	1	127509,	128502,	114	sirA	cmpl	cmpl	0,
585	SAV0116	chr	+	128732	129713	128732	129713	1	128732,	129713,	115	none	cmpl	cmpl	0,
585	SAV0117	chr	+	129709	130720	129709	130720	1	129709,	130720,	116	none	cmpl	cmpl	0,
73	SAV0118	chr	+	130740	132495	130740	132495	1	130740,	132495,	117	none	cmpl	cmpl	0,
586	SAV0119	chr	+	132487	133744	132487	133744	1	132487,	133744,	118	none	cmpl	cmpl	0,
586	SAV0120	chr	+	133733	135470	133733	135470	1	133733,	135470,	119	none	cmpl	cmpl	0,
586	SAV0121	chr	+	135450	137229	135450	137229	1	135450,	137229,	120	none	cmpl	cmpl	0,
586	SAV0122	chr	+	137200	137980	137200	137980	1	137200,	137980,	121	none	cmpl	cmpl	0,
586	SAV0123	chr	+	137979	139182	137979	139182	1	137979,	139182,	122	none	cmpl	cmpl	0,
586	SAV0124	chr	+	139185	139950	139185	139950	1	139185,	139950,	123	none	cmpl	cmpl	0,
586	SAV0125	chr	+	140145	140772	140145	140772	1	140145,	140772,	124	none	cmpl	cmpl	0,
586	SAV0126	chr	+	140983	141760	140983	141760	1	140983,	141760,	125	butA	cmpl	cmpl	0,
586	SAV0127	chr	-	141808	141961	141808	141961	1	141808,	141961,	126	none	cmpl	cmpl	0,
586	SAV0128	chr	+	142104	143076	142104	143076	1	142104,	143076,	127	none	cmpl	cmpl	0,
586	SAV0129	chr	+	143038	143731	143038	143731	1	143038,	143731,	128	none	cmpl	cmpl	0,
586	SAV0130	chr	+	143940	145107	143940	145107	1	143940,	145107,	129	none	cmpl	cmpl	0,
586	SAV0131	chr	+	145087	146326	145087	146326	1	145087,	146326,	130	none	cmpl	cmpl	0,
586	SAV0132	chr	+	146315	147746	146315	147746	1	146315,	147746,	131	none	cmpl	cmpl	0,
586	SAV0133	chr	+	148013	148613	148013	148613	1	148013,	148613,	132	sodM	cmpl	cmpl	0,
586	SAV0134	chr	+	148979	149705	148979	149705	1	148979,	149705,	133	none	cmpl	cmpl	0,
586	SAV0135	chr	-	149895	150636	149895	150636	1	149895,	150636,	134	none	cmpl	cmpl	0,
586	SAV0136	chr	+	150886	151594	150886	151594	1	150886,	151594,	135	pnp	cmpl	cmpl	0,
586	SAV0137	chr	+	151600	152953	151600	152953	1	151600,	152953,	136	none	cmpl	cmpl	0,
586	SAV0138	chr	+	153033	153696	153033	153696	1	153033,	153696,	137	dra	cmpl	cmpl	0,
586	SAV0139	chr	+	153723	154902	153723	154902	1	153723,	154902,	138	drm	cmpl	cmpl	0,
586	SAV0140	chr	-	155030	155846	155030	155846	1	155030,	155846,	139	none	cmpl	cmpl	0,
586	SAV0141	chr	-	155842	156643	155842	156643	1	155842,	156643,	140	none	cmpl	cmpl	0,
586	SAV0142	chr	-	156644	157418	156644	157418	1	156644,	157418,	141	none	cmpl	cmpl	0,
586	SAV0143	chr	-	157612	158569	157612	158569	1	157612,	158569,	142	none	cmpl	cmpl	0,
586	SAV0144	chr	+	158797	160342	158797	160342	1	158797,	160342,	143	none	cmpl	cmpl	0,
586	SAV0145	chr	+	160392	161928	160392	161928	1	160392,	161928,	144	none	cmpl	cmpl	0,
586	SAV0146	chr	+	162084	162852	162084	162852	1	162084,	162852,	145	none	cmpl	cmpl	0,
586	SAV0147	chr	+	162857	164033	162857	164033	1	162857,	164033,	146	none	cmpl	cmpl	0,
586	SAV0148	chr	+	164417	167027	164417	167027	1	164417,	167027,	147	adhE	cmpl	cmpl	0,
586	SAV0149	chr	+	167369	168038	167369	168038	1	167369,	168038,	148	capA	cmpl	cmpl	0,
586	SAV0150	chr	+	168053	168740	168053	168740	1	168053,	168740,	149	capB	cmpl	cmpl	0,
586	SAV0151	chr	+	168742	169507	168742	169507	1	168742,	169507,	150	capC	cmpl	cmpl	0,
586	SAV0152	chr	+	169526	171350	169526	171350	1	169526,	171350,	151	capD	cmpl	cmpl	0,
586	SAV0153	chr	+	171339	172368	171339	172368	1	171339,	172368,	152	capE	cmpl	cmpl	0,
586	SAV0154	chr	+	172380	173490	172380	173490	1	172380,	173490,	153	capF	cmpl	cmpl	0,
586	SAV0155	chr	+	173493	174618	173493	174618	1	173493,	174618,	154	capG	cmpl	cmpl	0,
586	SAV0156	chr	+	174620	175247	174620	175247	1	174620,	175247,	155	capH	cmpl	cmpl	0,
586	SAV0157	chr	+	175251	176361	175251	176361	1	175251,	176361,	156	capI	cmpl	cmpl	0,
586	SAV0158	chr	+	176374	177541	176374	177541	1	176374,	177541,	157	capJ	cmpl	cmpl	0,
586	SAV0159	chr	+	177533	178739	177533	178739	1	177533,	178739,	158	capK	cmpl	cmpl	0,
586	SAV0160	chr	+	178739	179945	178739	179945	1	178739,	179945,	159	capL	cmpl	cmpl	0,
586	SAV0161	chr	+	179955	180513	179955	180513	1	179955,	180513,	160	capM	cmpl	cmpl	0,
586	SAV0162	chr	+	180512	181400	180512	181400	1	180512,	181400,	161	capN	cmpl	cmpl	0,
586	SAV0163	chr	+	181453	182716	181453	182716	1	181453,	182716,	162	capO	cmpl	cmpl	0,
586	SAV0164	chr	+	182762	183938	182762	183938	1	182762,	183938,	163	capP	cmpl	cmpl	0,
586	SAV0165	chr	-	184002	184329	184002	184329	1	184002,	184329,	164	isdI	cmpl	cmpl	0,
586	SAV0166	chr	-	184335	184719	184335	184719	1	184335,	184719,	165	none	cmpl	cmpl	0,
586	SAV0167	chr	+	185145	186633	185145	186633	1	185145,	186633,	166	aldA	cmpl	cmpl	0,
586	SAV0168	chr	+	187279	188239	187279	188239	1	187279,	188239,	167	none	cmpl	cmpl	0,
586	SAV0169	chr	-	188348	188504	188348	188504	1	188348,	188504,	168	none	cmpl	cmpl	0,
586	SAV0170	chr	-	188533	188737	188533	188737	1	188533,	188737,	169	none	cmpl	cmpl	0,
586	SAV0171	chr	+	188915	189428	188915	189428	1	188915,	189428,	170	none	cmpl	cmpl	0,
586	SAV0172	chr	+	189769	190510	189769	190510	1	189769,	190510,	171	none	cmpl	cmpl	0,
586	SAV0173	chr	+	190523	191495	190523	191495	1	190523,	191495,	172	none	cmpl	cmpl	0,
586	SAV0174	chr	+	191491	192253	191491	192253	1	191491,	192253,	173	none	cmpl	cmpl	0,
586	SAV0175	chr	+	192265	193297	192265	193297	1	192265,	193297,	174	none	cmpl	cmpl	0,
586	SAV0176	chr	+	193522	193873	193522	193873	1	193522,	193873,	175	none	cmpl	cmpl	0,
586	SAV0177	chr	+	193947	195072	193947	195072	1	193947,	195072,	176	fdh	cmpl	cmpl	0,
586	SAV0178	chr	+	195457	196708	195457	196708	1	195457,	196708,	177	none	cmpl	cmpl	0,
586	SAV0179	chr	+	197154	204330	197154	204330	1	197154,	204330,	178	none	cmpl	cmpl	0,
586	SAV0180	chr	+	204342	204987	204342	204987	1	204342,	204987,	179	none	cmpl	cmpl	0,
586	SAV0181	chr	-	205314	205809	205314	205809	1	205314,	205809,	180	none	cmpl	cmpl	0,
586	SAV0182	chr	-	206063	206828	206063	206828	1	206063,	206828,	181	none	cmpl	cmpl	0,
586	SAV0183	chr	-	206843	208085	206843	208085	1	206843,	208085,	182	argJ	cmpl	cmpl	0,
586	SAV0184	chr	-	208096	209128	208096	209128	1	208096,	209128,	183	argC	cmpl	cmpl	0,
586	SAV0185	chr	-	209166	210351	209166	210351	1	209166,	210351,	184	none	cmpl	cmpl	0,
586	SAV0186	chr	-	210609	211959	210609	211959	1	210609,	211959,	185	none	cmpl	cmpl	0,
586	SAV0187	chr	-	212237	212735	212237	212735	1	212237,	212735,	186	none	cmpl	cmpl	0,
586	SAV0188	chr	-	212861	214502	212861	214502	1	212861,	214502,	187	none	cmpl	cmpl	0,
586	SAV0189	chr	-	214773	216819	214773	216819	1	214773,	216819,	188	glcA	cmpl	cmpl	0,
586	SAV0190	chr	+	217403	218459	217403	218459	1	217403,	218459,	189	none	cmpl	cmpl	0,
586	SAV0191	chr	+	218455	219355	218455	219355	1	218455,	219355,	190	murQ	cmpl	cmpl	0,
586	SAV0192	chr	+	219366	220821	219366	220821	1	219366,	220821,	191	none	cmpl	cmpl	0,
586	SAV0193	chr	+	220823	221699	220823	221699	1	220823,	221699,	192	none	cmpl	cmpl	0,
586	SAV0194	chr	-	221892	222174	221892	222174	1	221892,	222174,	193	none	cmpl	cmpl	0,
586	SAV0195	chr	+	222386	225176	222386	225176	1	222386,	225176,	194	hsdR	cmpl	cmpl	0,
586	SAV0196	chr	-	225322	225922	225322	225922	1	225322,	225922,	195	none	cmpl	cmpl	0,
586	SAV0197	chr	+	226047	227160	226047	227160	1	226047,	227160,	196	none	cmpl	cmpl	0,
586	SAV0198	chr	+	227156	227837	227156	227837	1	227156,	227837,	197	none	cmpl	cmpl	0,
586	SAV0199	chr	+	227833	229012	227833	229012	1	227833,	229012,	198	none	cmpl	cmpl	0,
586	SAV0200	chr	+	229218	229440	229218	229440	1	229218,	229440,	199	none	cmpl	cmpl	0,
586	SAV0201	chr	+	229477	231196	229477	231196	1	229477,	231196,	200	none	cmpl	cmpl	0,
586	SAV0202	chr	+	231254	231698	231254	231698	1	231254,	231698,	201	none	cmpl	cmpl	0,
586	SAV0203	chr	+	231709	232432	231709	232432	1	231709,	232432,	202	none	cmpl	cmpl	0,
586	SAV0204	chr	+	232418	232595	232418	232595	1	232418,	232595,	203	none	cmpl	cmpl	0,
586	SAV0205	chr	-	233304	234897	233304	234897	1	233304,	234897,	204	oppF	cmpl	cmpl	0,
586	SAV0206	chr	+	234994	236332	234994	236332	1	234994,	236332,	205	truncated-oppB	cmpl	cmpl	0,
586	SAV0207	chr	+	236337	237501	236337	237501	1	236337,	237501,	206	none	cmpl	cmpl	0,
586	SAV0208	chr	+	237517	239293	237517	239293	1	237517,	239293,	207	rlp	cmpl	cmpl	0,
586	SAV0209	chr	+	239330	241337	239330	241337	1	239330,	241337,	208	none	cmpl	cmpl	0,
586	SAV0210	chr	-	241649	242423	241649	242423	1	241649,	242423,	209	none	cmpl	cmpl	0,
586	SAV0211	chr	-	242611	243238	242611	243238	1	242611,	243238,	210	acpD	cmpl	cmpl	0,
586	SAV0212	chr	+	243446	244025	243446	244025	1	243446,	244025,	211	none	cmpl	cmpl	0,
586	SAV0213	chr	+	244408	245506	244408	245506	1	244408,	245506,	212	msmX	cmpl	cmpl	0,
586	SAV0214	chr	+	245518	246790	245518	246790	1	245518,	246790,	213	none	cmpl	cmpl	0,
586	SAV0215	chr	+	246792	248061	246792	248061	1	246792,	248061,	214	none	cmpl	cmpl	0,
586	SAV0216	chr	+	248062	248902	248062	248902	1	248062,	248902,	215	none	cmpl	cmpl	0,
586	SAV0217	chr	+	248972	250052	248972	250052	1	248972,	250052,	216	none	cmpl	cmpl	0,
586	SAV0218	chr	+	250076	251117	250076	251117	1	250076,	251117,	217	none	cmpl	cmpl	0,
586	SAV0219	chr	+	251171	252140	251171	252140	1	251171,	252140,	218	none	cmpl	cmpl	0,
586	SAV0220	chr	-	252500	252995	252500	252995	1	252500,	252995,	219	none	cmpl	cmpl	0,
586	SAV0221	chr	+	253227	253947	253227	253947	1	253227,	253947,	220	uhpT	cmpl	cmpl	0,
586	SAV0222	chr	+	253950	254607	253950	254607	1	253950,	254607,	221	uhpT	cmpl	cmpl	0,
586	SAV0223	chr	-	254965	255724	254965	255724	1	254965,	255724,	222	none	cmpl	cmpl	0,
586	SAV0224	chr	-	255716	257273	255716	257273	1	255716,	257273,	223	none	cmpl	cmpl	0,
586	SAV0225	chr	-	257269	258238	257269	258238	1	257269,	258238,	224	none	cmpl	cmpl	0,
586	SAV0226	chr	+	258825	261075	258825	261075	1	258825,	261075,	225	pflB	cmpl	cmpl	0,
586	SAV0227	chr	+	261097	261853	261097	261853	1	261097,	261853,	226	pflA	cmpl	cmpl	0,
587	SAV0228	chr	+	262174	263938	262174	263938	1	262174,	263938,	227	none	cmpl	cmpl	0,
587	SAV0229	chr	-	264101	264446	264101	264446	1	264101,	264446,	228	none	cmpl	cmpl	0,
587	SAV0230	chr	+	264635	266612	264635	266612	1	264635,	266612,	229	coa	cmpl	cmpl	0,
587	SAV0231	chr	-	267198	268383	267198	268383	1	267198,	268383,	230	none	cmpl	cmpl	0,
587	SAV0232	chr	-	268412	270674	268412	270674	1	268412,	270674,	231	none	cmpl	cmpl	0,
587	SAV0233	chr	-	270859	272071	270859	272071	1	270859,	272071,	232	none	cmpl	cmpl	0,
587	SAV0234	chr	-	272182	273688	272182	273688	1	272182,	273688,	233	none	cmpl	cmpl	0,
587	SAV0235	chr	-	273713	275276	273713	275276	1	273713,	275276,	234	none	cmpl	cmpl	0,
587	SAV0236	chr	+	275731	276874	275731	276874	1	275731,	276874,	235	none	cmpl	cmpl	0,
587	SAV0237	chr	-	277187	278663	277187	278663	1	277187,	278663,	236	none	cmpl	cmpl	0,
587	SAV0238	chr	-	278860	279217	278860	279217	1	278860,	279217,	237	none	cmpl	cmpl	0,
587	SAV0239	chr	-	279373	279547	279373	279547	1	279373,	279547,	238	none	cmpl	cmpl	0,
587	SAV0240	chr	-	279572	280718	279572	280718	1	279572,	280718,	239	none	cmpl	cmpl	0,
587	SAV0241	chr	+	281290	282244	281290	282244	1	281290,	282244,	240	lctE	cmpl	cmpl	0,
587	SAV0242	chr	-	282563	284093	282563	284093	1	282563,	284093,	241	none	cmpl	cmpl	0,
587	SAV0243	chr	+	284454	285390	284454	285390	1	284454,	285390,	242	none	cmpl	cmpl	0,
587	SAV0244	chr	+	285726	287823	285726	287823	1	285726,	287823,	243	none	cmpl	cmpl	0,
587	SAV0245	chr	+	287807	288275	287807	288275	1	287807,	288275,	244	none	cmpl	cmpl	0,
587	SAV0246	chr	+	288297	288576	288297	288576	1	288297,	288576,	245	none	cmpl	cmpl	0,
587	SAV0247	chr	+	288802	290062	288802	290062	1	288802,	290062,	246	gatC	cmpl	cmpl	0,
587	SAV0248	chr	+	290079	291135	290079	291135	1	290079,	291135,	247	none	cmpl	cmpl	0,
587	SAV0249	chr	+	291136	291283	291136	291283	1	291136,	291283,	248	none	cmpl	cmpl	0,
587	SAV0250	chr	+	291306	292350	291306	292350	1	291306,	292350,	249	none	cmpl	cmpl	0,
587	SAV0251	chr	+	292877	293594	292877	293594	1	292877,	293594,	250	ispD	cmpl	cmpl	0,
587	SAV0252	chr	+	293586	294612	293586	294612	1	293586,	294612,	251	none	cmpl	cmpl	0,
587	SAV0253	chr	+	294633	296328	294633	296328	1	294633,	296328,	252	none	cmpl	cmpl	0,
587	SAV0254	chr	+	296755	297925	296755	297925	1	296755,	297925,	253	none	cmpl	cmpl	0,
587	SAV0255	chr	+	298200	298917	298200	298917	1	298200,	298917,	254	ispD	cmpl	cmpl	0,
587	SAV0256	chr	+	298909	299935	298909	299935	1	298909,	299935,	255	none	cmpl	cmpl	0,
587	SAV0257	chr	+	299956	301645	299956	301645	1	299956,	301645,	256	none	cmpl	cmpl	0,
587	SAV0258	chr	+	301677	303399	301677	303399	1	301677,	303399,	257	none	cmpl	cmpl	0,
587	SAV0259	chr	+	303542	304217	303542	304217	1	303542,	304217,	258	scdA	cmpl	cmpl	0,
587	SAV0260	chr	+	304461	306216	304461	306216	1	304461,	306216,	259	lytS	cmpl	cmpl	0,
587	SAV0261	chr	+	306218	306959	306218	306959	1	306218,	306959,	260	lytR	cmpl	cmpl	0,
587	SAV0262	chr	+	307077	307515	307077	307515	1	307077,	307515,	261	lrgA	cmpl	cmpl	0,
587	SAV0263	chr	+	307507	308209	307507	308209	1	307507,	308209,	262	lrgB	cmpl	cmpl	0,
